hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,city
Resort Hotel - Lucknow,0,18,2024,June,23,9,0,4,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241.0,,0,Transient,154.77,0,1,Check-Out,2024-06-09 11:36:00.229166840,Lucknow
Resort Hotel - Mumbai,0,15,2024,February,8,21,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,98.0,0,0,Check-Out,2024-02-21 02:39:35.073080434,Mumbai
Resort Hotel - Kochi,0,16,2024,May,19,10,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,123.0,0,0,Check-Out,2024-05-10 05:16:29.488143798,Kochi
Resort Hotel - Kolkata,0,96,2024,August,32,5,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,58.95,0,1,Check-Out,2024-08-05 12:45:04.771796396,Kolkata
Resort Hotel - Pune,0,3,2024,August,35,27,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,88.2,1,0,Check-Out,2024-08-27 15:32:09.253113772,Pune
Resort Hotel - Bangalore,0,1,2024,January,4,27,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,1,2,Check-Out,2024-01-27 21:28:03.019373644,Bangalore
Resort Hotel - Delhi,0,17,2024,May,18,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,133.0,0,1,Check-Out,2024-05-02 22:38:44.535761250,Delhi
Resort Hotel - Lucknow,0,3,2024,January,2,8,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,110.5,0,0,Check-Out,2024-01-08 22:28:40.258985333,Lucknow
Resort Hotel - Ahmedabad,0,15,2024,December,1,30,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,114.5,0,0,Check-Out,2024-12-30 09:54:44.171908632,Ahmedabad
Resort Hotel - Lucknow,0,3,2024,August,33,14,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,90.9,1,0,Check-Out,2024-08-14 00:34:59.409493336,Lucknow
Resort Hotel - Chennai,0,1,2024,September,36,6,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,131.0,0,1,Check-Out,2024-09-06 01:13:59.082327516,Chennai
Resort Hotel - Hyderabad,0,63,2024,November,47,21,2,5,3,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105.0,,0,Transient,196.54,0,1,Check-Out,2024-11-21 16:02:55.372940556,Hyderabad
Resort Hotel - Chandigarh,0,4,2024,August,32,5,2,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,92.67,0,1,Check-Out,2024-08-05 08:56:09.235021652,Chandigarh
Resort Hotel - Jaipur,0,8,2024,January,2,10,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Check-Out,2024-01-10 23:51:29.802243087,Jaipur
Resort Hotel - Pune,0,9,2024,October,43,26,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,88.2,0,1,Check-Out,2024-10-26 19:22:53.342602752,Pune
Resort Hotel - Goa,0,0,2024,May,18,4,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306.0,,0,Transient,85.1,0,0,Check-Out,2024-05-04 09:16:40.946485856,Goa
Resort Hotel - Bangalore,0,97,2024,January,5,30,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,87.3,0,2,Check-Out,2024-01-30 15:52:14.188241797,Bangalore
Resort Hotel - Bhopal,0,30,2024,September,38,22,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Check-Out,2024-09-22 19:50:02.357001064,Bhopal
Resort Hotel - Hyderabad,0,39,2024,December,49,3,2,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,163.0,0,0,Check-Out,2024-12-03 12:53:06.022162844,Hyderabad
Resort Hotel - Bangalore,0,27,2024,December,51,21,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,175.0,,0,Transient,98.4,0,0,Check-Out,2024-12-21 18:29:06.432250876,Bangalore
Resort Hotel - Lucknow,0,98,2024,October,43,24,1,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,117.8,1,1,Check-Out,2024-10-24 03:54:47.971253632,Lucknow
Resort Hotel - Jaipur,0,55,2024,September,37,15,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,1,2,Check-Out,2024-09-15 13:12:17.404618516,Jaipur
Resort Hotel - Kolkata,0,8,2024,November,45,8,0,4,3,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240.0,,0,Transient,193.0,0,1,Check-Out,2024-11-08 18:07:07.154930520,Kolkata
Resort Hotel - Kolkata,0,1,2024,June,22,1,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,131.0,1,1,Check-Out,2024-06-01 07:59:09.824523196,Kolkata
Resort Hotel - Pune,0,5,2024,December,49,7,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,146.0,0,1,Check-Out,2024-12-07 09:11:20.354136476,Pune
Resort Hotel - Kolkata,0,44,2024,May,21,24,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.6,0,0,Check-Out,2024-05-24 19:20:24.987226628,Kolkata
Resort Hotel - Pune,0,70,2024,February,6,6,2,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,99.5,1,2,Check-Out,2024-02-06 11:25:13.254989990,Pune
Resort Hotel - Delhi,0,0,2024,March,10,4,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,153.0,0,0,Check-Out,2024-03-04 13:35:01.550394090,Delhi
Resort Hotel - Hyderabad,0,0,2024,August,33,14,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,131.0,0,1,Check-Out,2024-08-14 01:49:49.873438924,Hyderabad
Resort Hotel - Ahmedabad,0,71,2024,February,5,3,1,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,65.5,0,0,Check-Out,2024-02-03 07:59:32.258750806,Ahmedabad
Resort Hotel - Chennai,0,8,2024,March,11,16,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,131.0,0,0,Check-Out,2024-03-16 13:12:29.707259463,Chennai
Resort Hotel - Hyderabad,0,34,2024,July,29,19,2,5,2,0.0,1,HB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,156.0,,0,Transient,149.0,0,1,Check-Out,2024-07-19 19:15:03.671192488,Hyderabad
Resort Hotel - Mumbai,0,59,2024,February,9,27,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,144.43,1,2,Check-Out,2024-02-27 00:07:26.513497893,Mumbai
Resort Hotel - Hyderabad,0,13,2024,March,10,5,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,88.2,0,0,Check-Out,2024-03-05 19:53:13.409778120,Hyderabad
Resort Hotel - Indore,0,1,2024,October,42,20,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,240.0,,0,Transient,114.5,0,1,Check-Out,2024-10-20 18:23:42.945162452,Indore
Resort Hotel - Bhopal,0,9,2024,October,42,16,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,117.9,0,3,Check-Out,2024-10-16 06:36:34.031275912,Bhopal
Resort Hotel - Bangalore,0,50,2024,August,33,17,2,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Contract,123.0,0,0,Check-Out,2024-08-17 17:08:42.349630200,Bangalore
Resort Hotel - Kochi,0,34,2024,May,18,5,2,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,149.4,1,0,Check-Out,2024-05-05 05:09:44.224677314,Kochi
Resort Hotel - Chandigarh,0,47,2024,February,5,2,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,175.71,0,0,Check-Out,2024-02-02 23:20:03.156069654,Chandigarh
